
>>> Values:
 Random Seed Value = 25264
 Number of Physical Paths = 5
 Number of Learning Paths per Physical Path = 1
 Method = 5
 Number of Lookahead Levels = 1
 Path-File Mode = 3
 Step-Size Parameter ALPHA = 0.100000
 Discount Rate GAMMA = 0.900000
 Lookahead Weight Factor LAMBDA = 0.500000
 Q-value Weight Factor w1 = 0.800000
 Distance-to-Goal Weight Factor w2 = 0.500000
 Initial Full Exploration is OFF
 Visited-Number Weight factor w3 = 0.500000
 TAW has greedy-mode value = 1
 Star is 1 at location [0, 0]
 Goal is H

>>> Input Maze:
 O  O  O  O  O  O  O  B 
 O  O  O  O  B  O  O  O 
 O  O  O  B  O  O  O  O 
 O  B  O  O  O  B  O  O 
 O  B  O  B  O  B  O  O 
 O  O  O  O  O  O  O  B 
 O  O  O  O  O  O  B  B 
 B  O  O  O  B  O  B  J 
 O  O  O  B  O  O  O  O 
 O  B  O  O  O  B  O  B 
 O  B  O  B  O  B  O  X 
 O  E  O  W  O  O  H  B 


>>> Agent Physical Path 1:
 Step  82: Agent moved UP_RIGHT to location [x=7,y=3], randomly.
 Step  83: Agent moved  LEFT to location [x=6,y=3], randomly.
 Step  84: Agent moved RIGHT to location [x=7,y=3], randomly.
 Step  85: Agent moved UP_LEFT to location [x=6,y=2], randomly.
 Step  86: Agent moved RIGHT to location [x=7,y=2], randomly.
 Step  87: Agent moved  DOWN to location [x=7,y=3], randomly.
 Step  88: Agent moved  LEFT to location [x=6,y=3], randomly.
 Step  89: Agent moved UP_RIGHT to location [x=7,y=2], randomly.
 Step  90: Agent moved    UP to location [x=7,y=1], randomly.
 Step  91: Agent moved  LEFT to location [x=6,y=1], randomly.
 Step  92: Agent moved  DOWN to location [x=6,y=2], randomly.
 Step  93: Agent moved DOWN_RIGHT to location [x=7,y=3], randomly.
 Step  94: Agent moved  LEFT to location [x=6,y=3], randomly.
 Step  95: Agent moved  DOWN to location [x=6,y=4], randomly.
 Step  96: Agent moved RIGHT to location [x=7,y=4], randomly.
 Step  97: Agent moved UP_LEFT to location [x=6,y=3], randomly.
 Step  98: Agent moved  DOWN to location [x=6,y=4], randomly.
 Step  99: Agent moved  DOWN to location [x=6,y=5], randomly.
 Step 100: Agent moved UP_RIGHT to location [x=7,y=4], randomly.
 Step 101: Agent moved DOWN_LEFT to location [x=6,y=5], randomly.
 Step 102: Agent moved  LEFT to location [x=5,y=5], randomly.
 Step 103: Agent moved UP_LEFT to location [x=4,y=4], randomly.
 Step 104: Agent moved  DOWN to location [x=4,y=5], randomly.
 Step 105: Agent moved  LEFT to location [x=3,y=5], randomly.
 Step 106: Agent moved DOWN_RIGHT to location [x=4,y=6], randomly.
 Step 107: Agent moved UP_LEFT to location [x=3,y=5], randomly.
 Step 108: Agent moved UP_RIGHT to location [x=4,y=4], randomly.
 Step 109: Agent moved UP_LEFT to location [x=3,y=3], randomly.
 Step 110: Agent moved DOWN_RIGHT to location [x=4,y=4], randomly.
 Step 111: Agent moved UP_LEFT to location [x=3,y=3], randomly.
 Step 112: Agent moved RIGHT to location [x=4,y=3], randomly.
 Step 113: Agent moved    UP to location [x=4,y=2], randomly.
 Step 114: Agent moved UP_LEFT to location [x=3,y=1], randomly.
 Step 115: Agent moved DOWN_LEFT to location [x=2,y=2], randomly.
 Step 116: Agent moved  LEFT to location [x=1,y=2], randomly.
 Step 117: Agent moved    UP to location [x=1,y=1], randomly.
 Step 118: Agent moved DOWN_LEFT to location [x=0,y=2], randomly.
 Step 119: Agent moved UP_RIGHT to location [x=1,y=1], randomly.
 Step 120: Agent moved DOWN_RIGHT to location [x=2,y=2], randomly.
 Step 121: Agent moved  LEFT to location [x=1,y=2], randomly.
 Step 122: Agent moved UP_LEFT to location [x=0,y=1], randomly.
 Step 123: Agent moved  DOWN to location [x=0,y=2], randomly.
 Step 124: Agent moved RIGHT to location [x=1,y=2], randomly.
 Step 125: Agent moved DOWN_LEFT to location [x=0,y=3], randomly.
 Step 126: Agent moved    UP to location [x=0,y=2], randomly.
 Step 127: Agent moved  DOWN to location [x=0,y=3], randomly.
 Step 128: Agent moved UP_RIGHT to location [x=1,y=2], randomly.
 Step 129: Agent moved RIGHT to location [x=2,y=2], randomly.
 Step 130: Agent moved UP_RIGHT to location [x=3,y=1], randomly.
 Step 131: Agent moved DOWN_RIGHT to location [x=4,y=2], randomly.
 Step 132: Agent moved UP_LEFT to location [x=3,y=1], randomly.
 Step 133: Agent moved UP_LEFT to location [x=2,y=0], randomly.
 Step 134: Agent moved RIGHT to location [x=3,y=0], randomly.
 Step 135: Agent moved  LEFT to location [x=2,y=0], randomly.
 Step 136: Agent moved RIGHT to location [x=3,y=0], randomly.
 Step 137: Agent moved  DOWN to location [x=3,y=1], randomly.
 Step 138: Agent moved    UP to location [x=3,y=0], randomly.
 Step 139: Agent moved DOWN_LEFT to location [x=2,y=1], randomly.
 Step 140: Agent moved UP_RIGHT to location [x=3,y=0], randomly.
 Step 141: Agent moved DOWN_LEFT to location [x=2,y=1], randomly.
 Step 142: Agent moved  DOWN to location [x=2,y=2], randomly.
 Step 143: Agent moved UP_RIGHT to location [x=3,y=1], randomly.
 Step 144: Agent moved  LEFT to location [x=2,y=1], randomly.
 Step 145: Agent moved UP_RIGHT to location [x=3,y=0], randomly.
 Step 146: Agent moved RIGHT to location [x=4,y=0], randomly.
 Step 147: Agent moved DOWN_LEFT to location [x=3,y=1], randomly.
 Step 148: Agent moved  LEFT to location [x=2,y=1], randomly.
 Step 149: Agent moved UP_RIGHT to location [x=3,y=0], randomly.
 Step 150: Agent moved  DOWN to location [x=3,y=1], randomly.
 Step 151: Agent moved  LEFT to location [x=2,y=1], randomly.
 Step 152: Agent moved RIGHT to location [x=3,y=1], randomly.
 Step 153: Agent moved UP_RIGHT to location [x=4,y=0], randomly.
 Step 154: Agent moved DOWN_LEFT to location [x=3,y=1], randomly.
 Step 155: Agent moved UP_RIGHT to location [x=4,y=0], randomly.
 Step 156: Agent moved DOWN_RIGHT to location [x=5,y=1], randomly.
 Step 157: Agent moved UP_LEFT to location [x=4,y=0], randomly.
 Step 158: Agent moved DOWN_LEFT to location [x=3,y=1], randomly.
 Step 159: Agent moved UP_RIGHT to location [x=4,y=0], randomly.
 Step 160: Agent moved DOWN_LEFT to location [x=3,y=1], randomly.
 Step 161: Agent moved    UP to location [x=3,y=0], randomly.
 Step 162: Agent moved RIGHT to location [x=4,y=0], randomly.
 Step 163: Agent moved  LEFT to location [x=3,y=0], randomly.
 Step 164: Agent moved  LEFT to location [x=2,y=0], randomly.
 Step 165: Agent moved DOWN_RIGHT to location [x=3,y=1], randomly.
 Step 166: Agent moved    UP to location [x=3,y=0], randomly.
 Step 167: Agent moved DOWN_LEFT to location [x=2,y=1], randomly.
 Step 168: Agent moved    UP to location [x=2,y=0], randomly.
